"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Jose Calderon",3000,"ATL@CLE 12/12/2017 07:00PM ET",7.958,"CLE"
"PG","Josh Magette",3000,"ATL@CLE 12/12/2017 07:00PM ET",6.188,"ATL"
"PG/SG","Tyler Dorsey",3000,"ATL@CLE 12/12/2017 07:00PM ET",4.188,"ATL"
"PF","Luke Kornet",3000,"LAL@NY 12/12/2017 07:00PM ET",0,"NY"
"PF","Isaiah Hicks",3000,"LAL@NY 12/12/2017 07:00PM ET",0,"NY"
"PF/C","Thomas Bryant",3000,"LAL@NY 12/12/2017 07:00PM ET",0,"LAL"
"PG/SG","Tyler Ennis",3000,"LAL@NY 12/12/2017 07:00PM ET",4.396,"LAL"
"PG/SG","Josh Hart",3000,"LAL@NY 12/12/2017 07:00PM ET",8.313,"LAL"
"PG/SG","Alex Caruso",3000,"LAL@NY 12/12/2017 07:00PM ET",4.75,"LAL"
"SF/PF","Luol Deng",3000,"LAL@NY 12/12/2017 07:00PM ET",5,"LAL"
"C","Andrew Bogut",3000,"LAL@NY 12/12/2017 07:00PM ET",7.533,"LAL"
"SG/SF","Corey Brewer",3000,"LAL@NY 12/12/2017 07:00PM ET",6.95,"LAL"
"PG/SG","Vander Blue",3000,"LAL@NY 12/12/2017 07:00PM ET",0.938,"LAL"
"PF","Jack Cooley",3000,"PHO@SAC 12/12/2017 10:00PM ET",4.75,"SAC"
"SG/SF","Vince Carter",3000,"PHO@SAC 12/12/2017 10:00PM ET",7.426,"SAC"
"C","Georgios Papagiannis",3000,"PHO@SAC 12/12/2017 10:00PM ET",6.5,"SAC"
"PF/C","Harry Giles",3000,"PHO@SAC 12/12/2017 10:00PM ET",0,"SAC"
"SG/SF","Malachi Richardson",3000,"PHO@SAC 12/12/2017 10:00PM ET",6.979,"SAC"
"SG/SF","Danuel House",3000,"PHO@SAC 12/12/2017 10:00PM ET",2.75,"PHO"
"PG/SG","Brandon Knight",3000,"PHO@SAC 12/12/2017 10:00PM ET",0,"PHO"
"PF","Alec Peters",3000,"PHO@SAC 12/12/2017 10:00PM ET",3.75,"PHO"
"SG/SF","Davon Reed",3000,"PHO@SAC 12/12/2017 10:00PM ET",0,"PHO"
"PF","Matt Costello",3000,"SA@DAL 12/12/2017 08:30PM ET",12.25,"SA"
"PF/C","Joffrey Lauvergne",3000,"SA@DAL 12/12/2017 08:30PM ET",9.635,"SA"
