"LaMarcus Aldridge_SA","Kyrie Irving_BOS","Marc Gasol_MEM","Kawhi Leonard_SA","Tyreke Evans_MEM","Al Horford_BOS","Harrison Barnes_DAL","Mike Conley_MEM","Rudy Gay_SA","Jayson Tatum_BOS","JJ Barea_DAL","Jaylen Brown_BOS","Pau Gasol_SA","Kyle Anderson_SA","Marcus Smart_BOS","Danny Green_SA","Dennis Smith_DAL","Yogi Ferrell_DAL","Wesley Matthews_DAL","Marcus Morris_BOS","Dirk Nowitzki_DAL","JaMychal Green_MEM","Patty Mills_SA","Terry Rozier_BOS","Andrew Harrison_MEM","Tony Parker_SA","Dejounte Murray_SA","Aron Baynes_BOS","Manu Ginobili_SA","Seth Curry_DAL","Mario Chalmers_MEM","Chandler Parsons_MEM","Brandon Paul_SA","Bryn Forbes_SA","Davis Bertans_SA","Dillon Brooks_MEM","Dwight Powell_DAL","Devin Harris_DAL","Maxi Kleber_DAL","Daniel Theis_BOS","James Ennis III_MEM","Ben McLemore_MEM","Shane Larkin_BOS","Semi Ojeleye_BOS","Jarell Martin_MEM","Brandan Wright_MEM","Gordon Hayward_BOS","Abdel Nader_BOS","Jabari Bird_BOS","Vince Hunter_MEM","Wayne Selden_MEM","Kadeem Allen_BOS","Ivan Rabb_MEM","Deyonta Davis_MEM","Guerschon Yabusele_BOS","Kobi Simmons_MEM","Josh McRoberts_DAL","Jeff Withey_DAL","Salah Mejri_DAL","Darrun Hilliard_SA","Dorian Finney-Smith_DAL","Nerlens Noel_DAL","Matt Costello_SA","Joffrey Lauvergne_SA","Johnathan Motley_DAL","Antonius Cleveland_DAL","Derrick White_SA"
-58.1125,0,0,-49.025,0,0,0,0,42.328125,0,0,0,69.509375,-64.875,0,76.796875,0,0,0,0,0,0,0,0,0,19.409375,0.396875,0,12.478125,0,0,0,9.2375,-3.80625,90.76875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.71875,0,0,0
0,0,7.02916666666667,0,68.1208333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2416666666667,0,0,2.77916666666667,0,0,0,0,0,-9.64166666666667,-29.2,0,0,0,13.4166666666667,0,0,0,0,0,0.4125,0,0,7.92083333333333,-1.83333333333333,0,0,0,0,0,0,0,-10.8875,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,20.6166666666667,0,0,0,0,0,0,0,0,0,-13.7916666666667,8.88125,37.8166666666667,0,-45.7229166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.5354166666667,16.1770833333333,-26.2708333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.07291666666667,14.28125,0,0,0,0,0,-10.0895833333333,0.183333333333333,0
0,0,0,0,0,0,-4.77916666666667,0,0,0,0,0,0,0,0,0,-17.2708333333333,-18.29375,8.77083333333333,0,13.0854166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1770833333333,41.3354166666667,-47.2541666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.11041666666667,5.18125,0,0,0,0,0,9.72708333333333,7.52916666666667,0
0,0,0,0,0,0,17.1416666666667,0,0,0,0,0,0,0,0,0,49.3208333333333,-7.8625,-42.0208333333333,0,9.88333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26.2708333333333,-47.2541666666667,93.3666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.20416666666667,-15.95,0,0,0,0,0,-10.2708333333333,-14.5291666666667,0
0,-1.54375,0,0,0,39.915625,0,0,0,12.475,0,-84.553125,0,0,-62.64375,0,0,0,0,-35.503125,0,0,0,26.859375,0,0,0,-29.853125,0,0,0,0,0,0,0,0,0,0,0,60.70625,0,0,47.86875,-6.03125,0,0,0,20.8125,0,0,0,0,0,0,29.1375,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,14.2625,0,-9.11875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99375,0,0,3.59375,0,0,0,0,0,-36.125,-19.2375,0,0,0,0.4125,0,0,0,0,0,50.66875,0,0,-17.06875,3.55,0,0,0,0,0,0,0,24.625,0,0,0,0,0,0,0,0,0,0,0,0,0
0,38.99375,0,0,0,-166.26875,0,0,0,2.2375,0,40.075,0,0,-46.665625,0,0,0,0,-178.478125,0,0,0,51.59375,0,0,0,43.70625,0,0,0,0,0,0,0,0,0,0,0,47.86875,0,0,189.7625,10.171875,0,0,0,22.59375,0,0,0,0,0,0,31.63125,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.578125,0,0,0,-42.53125,0,0,0,1.375,0,36.890625,0,0,19.0625,0,0,0,0,2.75,0,0,0,-7.234375,0,0,0,5.921875,0,0,0,0,0,0,0,0,0,0,0,-6.03125,0,0,10.171875,10.28125,0,0,0,-4.21875,0,0,0,0,0,0,-5.90625,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5.85833333333333,0,71.2104166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.54791666666667,0,0,-11.8104166666667,0,0,0,0,0,5.54166666666667,-17.5125,0,0,0,7.92083333333333,0,0,0,0,0,-17.06875,0,0,18.8604166666667,-1.81666666666667,0,0,0,0,0,0,0,-19.5875,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2.96666666666667,0,-6.01666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.58333333333333,0,0,-2.58333333333333,0,0,0,0,0,-0.366666666666667,2,0,0,0,-1.83333333333333,0,0,0,0,0,3.55,0,0,-1.81666666666667,0.666666666666667,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-10.59375,0,0,0,27.75,0,0,0,9.75,0,-35.53125,0,0,-26.90625,0,0,0,0,-26.90625,0,0,0,16.40625,0,0,0,-10.40625,0,0,0,0,0,0,0,0,0,0,0,20.8125,0,0,22.59375,-4.21875,0,0,0,11.25,0,0,0,0,0,0,15.75,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,13.1375,0,-37.7375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.7875,0,0,-23.8,0,0,0,0,0,-12.2625,-2.4875,0,0,0,-10.8875,0,0,0,0,0,24.625,0,0,-19.5875,4.3,0,0,0,0,0,0,0,49.25,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-14.83125,0,0,0,38.85,0,0,0,13.65,0,-49.74375,0,0,-37.66875,0,0,0,0,-37.66875,0,0,0,22.96875,0,0,0,-14.56875,0,0,0,0,0,0,0,0,0,0,0,29.1375,0,0,31.63125,-5.90625,0,0,0,15.75,0,0,0,0,0,0,22.05,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-13.0666666666667,0,0,0,0,0,0,0,0,0,-0.345833333333333,-9.21875,-1.60416666666667,0,11.2229166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.07291666666667,9.11041666666667,-9.20416666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46041666666667,0.11875,0,0,0,0,0,2.47708333333333,5.60416666666667,0
0,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,0,33.75,2.24375,18.05,0,-14.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28125,5.18125,-15.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11875,18.26875,0,0,0,0,0,-7.43125,0.7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
