"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14","2017-12-16","2017-12-19"
"Tony Parker_SA",NA,NA,19.5,NA,13.75,NA,15.5,NA,28.75,18.25,NA,NA,0,NA
"Ryan Anderson_HOU",NA,NA,34.25,NA,NA,NA,NA,NA,NA,NA,16.25,NA,12.5,NA
"Andrew Harrison_MEM",NA,NA,24,NA,15.5,21.25,17,NA,18.25,NA,35.75,NA,9,NA
"Dejounte Murray_SA",NA,NA,3,NA,3.5,NA,3.75,NA,0,0,NA,NA,28.5,NA
"Mason Plumlee_DEN",NA,4,NA,19.75,NA,28,18.75,NA,13.75,32.25,28.5,NA,NA,NA
"Wesley Johnson_LAC",9.25,NA,NA,21.25,NA,16.5,NA,NA,21.75,NA,10.25,NA,10.25,NA
"Wayne Ellington_MIA",NA,11,8.75,NA,26.5,NA,NA,NA,10.25,NA,38,NA,15.75,NA
"Frank Mason III_SAC",24.75,21.5,NA,NA,12.25,18.75,NA,NA,26,20.5,NA,15.5,NA,24.5
"Manu Ginobili_SA",NA,NA,10.25,NA,32.25,NA,20.5,NA,17.25,10.75,NA,NA,24.75,NA
"Seth Curry_DAL",NA,NA,0,NA,NA,0,0,NA,0,0,NA,0,0,NA
"Maxi Kleber_DAL",NA,NA,27.25,NA,NA,14,11.75,NA,32.75,10.5,NA,10.75,32.25,NA
"Stanley Johnson_DET",NA,NA,12.75,NA,10,16,34,NA,20.25,2.75,NA,6,NA,NA
"Frank Kaminsky_CHA",NA,NA,30.75,NA,10.25,NA,29.25,NA,1.25,NA,8,NA,12,NA
"Mike James_PHO",NA,18.25,22,NA,NA,20.75,8.25,15.5,NA,25.75,21.5,NA,0,NA
"Tyler Ulis_PHO",NA,32.5,23,NA,NA,10,32.75,11.75,NA,19.75,34.25,NA,6.75,NA
"Cory Joseph_IND",NA,NA,3.5,NA,18.5,NA,22.25,NA,21.25,NA,8.25,NA,NA,NA
"Aron Baynes_BOS",NA,NA,NA,10.5,NA,11.75,20,NA,10.25,NA,26.5,NA,20,NA
"Justise Winslow_MIA",NA,12.5,16.75,NA,25.25,NA,NA,NA,14,NA,2.5,NA,0,NA
"DJ Augustin_ORL",NA,NA,19.75,NA,19,NA,23.75,NA,12.75,NA,8.5,NA,NA,NA
"Jerian Grant_CHI",NA,14.75,NA,26.5,31,NA,6,NA,9.5,NA,12.5,NA,NA,NA
"Chandler Parsons_MEM",NA,NA,0,NA,14,0,0,NA,19.25,NA,20.75,NA,0,NA
"Joe Harris_BKN",NA,NA,19.5,NA,NA,21.75,17.5,NA,NA,12,NA,11,NA,NA
"Ish Smith_DET",NA,NA,0,NA,0,0,0,NA,0,0,NA,0,NA,NA
"Langston Galloway_DET",NA,NA,18.5,NA,1.5,9.5,4.5,NA,0,23,NA,31.25,NA,NA
