"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG/SF","Joe Harris",3900,"SAC@BKN 12/20/2017 07:30PM ET",17.407,"BKN"
"PG","Ish Smith",3900,"DET@DAL 12/20/2017 08:30PM ET",17.958,"DET"
"PG/SG","Langston Galloway",3900,"DET@DAL 12/20/2017 08:30PM ET",12.116,"DET"
"PF","Pascal Siakam",3900,"TOR@CHA 12/20/2017 07:00PM ET",17.25,"TOR"
"SG","Troy Daniels",3900,"PHO@LAC 12/20/2017 10:30PM ET",11.453,"PHO"
"SG/SF","Josh Jackson",3900,"PHO@LAC 12/20/2017 10:30PM ET",17.172,"PHO"
"PF","Tyler Cavanaugh",3800,"IND@ATL 12/20/2017 07:30PM ET",12.145,"ATL"
"PG","Mario Chalmers",3800,"MEM@GS 12/20/2017 10:30PM ET",18.371,"MEM"
"C","Jahlil Okafor",3800,"SAC@BKN 12/20/2017 07:30PM ET",13.75,"BKN"
"PF/C","Ed Davis",3800,"SA@POR 12/20/2017 10:00PM ET",15.775,"POR"
"SG/SF","Evan Turner",3800,"SA@POR 12/20/2017 10:00PM ET",17.65,"POR"
"SG/SF","Joe Johnson",3800,"UTA@OKC 12/20/2017 08:00PM ET",11.955,"UTA"
"SG/SF","Reggie Bullock",3800,"DET@DAL 12/20/2017 08:30PM ET",10.266,"DET"
"PF/C","Jakob Poeltl",3800,"TOR@CHA 12/20/2017 07:00PM ET",15.58,"TOR"
"C","Cody Zeller",3800,"TOR@CHA 12/20/2017 07:00PM ET",17.882,"CHA"
"SG/SF","C.J. Miles",3800,"TOR@CHA 12/20/2017 07:00PM ET",16.365,"TOR"
"SF/PF","P.J. Tucker",3800,"LAL@HOU 12/20/2017 08:00PM ET",18.026,"HOU"
"PF/C","Kenneth Faried",3800,"MIN@DEN 12/20/2017 09:00PM ET",15.59,"DEN"
"PG","Emmanuel Mudiay",3800,"MIN@DEN 12/20/2017 09:00PM ET",18.405,"DEN"
"PG","Jawun Evans",3800,"PHO@LAC 12/20/2017 10:30PM ET",11.432,"LAC"
"SF/PF","Sam Dekker",3800,"PHO@LAC 12/20/2017 10:30PM ET",8.92,"LAC"
"SG","Marco Belinelli",3700,"IND@ATL 12/20/2017 07:30PM ET",20.042,"ATL"
"SG/SF","Glenn Robinson III",3700,"IND@ATL 12/20/2017 07:30PM ET",0,"IND"
"PF/C","Jordan Mickey",3700,"MIA@BOS 12/20/2017 07:30PM ET",12.889,"MIA"
"SG/SF","Arron Afflalo",3700,"ORL@CHI 12/20/2017 08:00PM ET",5.693,"ORL"
"SG/SF","Dillon Brooks",3700,"MEM@GS 12/20/2017 10:30PM ET",15.85,"MEM"
"SF/PF","Jonas Jerebko",3700,"UTA@OKC 12/20/2017 08:00PM ET",14.413,"UTA"
"SG","Luke Kennard",3700,"DET@DAL 12/20/2017 08:30PM ET",11.57,"DET"
"PG","Fred VanVleet",3700,"TOR@CHA 12/20/2017 07:00PM ET",14.723,"TOR"
"SF/PF","OG Anunoby",3700,"TOR@CHA 12/20/2017 07:00PM ET",12.688,"TOR"
"SG","Jamal Crawford",3700,"MIN@DEN 12/20/2017 09:00PM ET",15.04,"MIN"
