"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Mike James",4300,"PHO@MIN 12/16/2017 08:00PM ET",22.083,"PHO"
"PF/C","Kyle O'Quinn",4200,"OKC@NY 12/16/2017 07:30PM ET",19.143,"NY"
"PF/C","Ryan Anderson",4200,"MIL@HOU 12/16/2017 08:00PM ET",21.63,"HOU"
"PF/C","Bam Adebayo",4200,"LAC@MIA 12/16/2017 08:00PM ET",14.264,"MIA"
"SF/PF","Jeff Green",4100,"UTA@CLE 12/16/2017 07:30PM ET",18.957,"CLE"
"SF/PF","Michael Beasley",4100,"OKC@NY 12/16/2017 07:30PM ET",14.67,"NY"
"C","Aron Baynes",4100,"BOS@MEM 12/16/2017 09:00PM ET",15.475,"BOS"
"SG/SF","Wesley Johnson",4100,"LAC@MIA 12/16/2017 08:00PM ET",17.433,"LAC"
"SG","Troy Daniels",4100,"PHO@MIN 12/16/2017 08:00PM ET",10.992,"PHO"
"SG/SF","Manu Ginobili",4100,"DAL@SA 12/16/2017 08:30PM ET",15.946,"SA"
"SG/SF","J.R. Smith",4000,"UTA@CLE 12/16/2017 07:30PM ET",18.086,"CLE"
"PF/C","Ed Davis",4000,"POR@CHA 12/16/2017 07:00PM ET",15.731,"POR"
"PG/SG","Seth Curry",4000,"DAL@SA 12/16/2017 08:30PM ET",0,"DAL"
"SF/PF","Doug McDermott",3900,"OKC@NY 12/16/2017 07:30PM ET",15.116,"NY"
"PG","Mario Chalmers",3900,"BOS@MEM 12/16/2017 09:00PM ET",18.222,"MEM"
"SF/PF","Chandler Parsons",3900,"BOS@MEM 12/16/2017 09:00PM ET",18,"MEM"
"PF/C","Frank Kaminsky",3900,"POR@CHA 12/16/2017 07:00PM ET",18.771,"CHA"
"SF/PF","Justise Winslow",3900,"LAC@MIA 12/16/2017 08:00PM ET",18,"MIA"
"PG/SG","Bryn Forbes",3900,"DAL@SA 12/16/2017 08:30PM ET",11.148,"SA"
"SG","Brandon Paul",3900,"DAL@SA 12/16/2017 08:30PM ET",8.433,"SA"
"SG/SF","Andre Roberson",3800,"OKC@NY 12/16/2017 07:30PM ET",15.15,"OKC"
"C","Cody Zeller",3800,"POR@CHA 12/16/2017 07:00PM ET",17.882,"CHA"
"SG/SF","Evan Turner",3800,"POR@CHA 12/16/2017 07:00PM ET",17.287,"POR"
"SG/SF","Wayne Ellington",3800,"LAC@MIA 12/16/2017 08:00PM ET",15.574,"MIA"
"PF/C","Gorgui Dieng",3800,"PHO@MIN 12/16/2017 08:00PM ET",16.192,"MIN"
"PF/C","Marquese Chriss",3800,"PHO@MIN 12/16/2017 08:00PM ET",17.033,"PHO"
"SG/SF","Josh Jackson",3800,"PHO@MIN 12/16/2017 08:00PM ET",16.908,"PHO"
"SF/PF","Davis Bertans",3800,"DAL@SA 12/16/2017 08:30PM ET",8.25,"SA"
"SG/SF","Kyle Korver",3700,"UTA@CLE 12/16/2017 07:30PM ET",17.319,"CLE"
"SG/SF","Dillon Brooks",3700,"BOS@MEM 12/16/2017 09:00PM ET",15.786,"MEM"
"SF/PF","P.J. Tucker",3700,"MIL@HOU 12/16/2017 08:00PM ET",17.712,"HOU"
"SG/SF","Tony Snell",3700,"MIL@HOU 12/16/2017 08:00PM ET",16.141,"MIL"
"SF/PF","Sam Dekker",3700,"LAC@MIA 12/16/2017 08:00PM ET",8.568,"LAC"
"PF/C","Dwight Powell",3700,"DAL@SA 12/16/2017 08:30PM ET",16.366,"DAL"
"PG","Jose Calderon",3600,"UTA@CLE 12/16/2017 07:30PM ET",10.188,"CLE"
"PG","Derrick Rose",3600,"UTA@CLE 12/16/2017 07:30PM ET",19.786,"CLE"
"SG/SF","Joe Johnson",3600,"UTA@CLE 12/16/2017 07:30PM ET",11.656,"UTA"
"SG/SF","Thabo Sefolosha",3600,"UTA@CLE 12/16/2017 07:30PM ET",17.648,"UTA"
"SF/PF","Jae Crowder",3600,"UTA@CLE 12/16/2017 07:30PM ET",15.871,"CLE"
"PF/C","Tristan Thompson",3600,"UTA@CLE 12/16/2017 07:30PM ET",12.25,"CLE"
"SG/SF","Alex Abrines",3600,"OKC@NY 12/16/2017 07:30PM ET",9.78,"OKC"
"PF/C","Zach Collins",3600,"POR@CHA 12/16/2017 07:00PM ET",6,"POR"
"PF/C","Meyers Leonard",3600,"POR@CHA 12/16/2017 07:00PM ET",11.091,"POR"
"PF/C","Thon Maker",3600,"MIL@HOU 12/16/2017 08:00PM ET",12.337,"MIL"
"PF/C","Montrezl Harrell",3600,"LAC@MIA 12/16/2017 08:00PM ET",12.375,"LAC"
"SG","Jamal Crawford",3600,"PHO@MIN 12/16/2017 08:00PM ET",14.655,"MIN"
"PF","Jared Dudley",3600,"PHO@MIN 12/16/2017 08:00PM ET",12.354,"PHO"
"PG/SG","Devin Harris",3600,"DAL@SA 12/16/2017 08:30PM ET",16.772,"DAL"
"PF","Maxi Kleber",3600,"DAL@SA 12/16/2017 08:30PM ET",11.793,"DAL"
"PG/SG","Iman Shumpert",3500,"UTA@CLE 12/16/2017 07:30PM ET",12.192,"CLE"
"SF/PF","Jonas Jerebko",3500,"UTA@CLE 12/16/2017 07:30PM ET",13.413,"UTA"
"PF/C","Guillermo Hernangomez",3500,"OKC@NY 12/16/2017 07:30PM ET",12.339,"NY"
"SF/PF","Jerami Grant",3500,"OKC@NY 12/16/2017 07:30PM ET",16.971,"OKC"
"PF/C","Daniel Theis",3500,"BOS@MEM 12/16/2017 09:00PM ET",12.107,"BOS"
"PF/C","Noah Vonleh",3500,"POR@CHA 12/16/2017 07:00PM ET",15.75,"POR"
"PG/SG","Shabazz Napier",3500,"POR@CHA 12/16/2017 07:00PM ET",13.636,"POR"
"PG/SG","Tyus Jones",3500,"PHO@MIN 12/16/2017 08:00PM ET",12.44,"MIN"
"SF/PF","Nemanja Bjelica",3500,"PHO@MIN 12/16/2017 08:00PM ET",13.514,"MIN"
"SG/SF","Shabazz Muhammad",3500,"PHO@MIN 12/16/2017 08:00PM ET",7.25,"MIN"
"PG","Raul Neto",3400,"UTA@CLE 12/16/2017 07:30PM ET",9.847,"UTA"
"PF/C","Patrick Patterson",3400,"OKC@NY 12/16/2017 07:30PM ET",7.481,"OKC"
"SG/SF","Damyean Dotson",3400,"OKC@NY 12/16/2017 07:30PM ET",5.765,"NY"
"SG/SF","James Ennis III",3400,"BOS@MEM 12/16/2017 09:00PM ET",14.685,"MEM"
"SG/SF","Ben McLemore",3400,"BOS@MEM 12/16/2017 09:00PM ET",12.882,"MEM"
"SG/SF","Semi Ojeleye",3400,"BOS@MEM 12/16/2017 09:00PM ET",6.319,"BOS"
"PG","Shane Larkin",3400,"BOS@MEM 12/16/2017 09:00PM ET",8.036,"BOS"
"SF/PF","Maurice Harkless",3400,"POR@CHA 12/16/2017 07:00PM ET",12.85,"POR"
"SG/SF","Pat Connaughton",3400,"POR@CHA 12/16/2017 07:00PM ET",11.676,"POR"
