Position,Name,Salary,GameInfo,AvgPointsPerGame,Team,Opponent,Projection,Projection_dfn,Actual_fpts,HomeTeam,AwayTeam,IsHome,Date,Contest
PG,Damian Lillard,8500,SA@POR 12/20/2017 10:00PM ET,44.583,POR,SA,0.0,41.6,30.5,POR,SA,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
SG/SF,DeMar DeRozan,8300,TOR@CHA 12/20/2017 07:00PM ET,38.946,TOR,CHA,0.0,39.4,41.5,CHA,TOR,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PG,Kyle Lowry,8200,TOR@CHA 12/20/2017 07:00PM ET,38.143,TOR,CHA,0.0,40.1,26.75,CHA,TOR,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
C,Nikola Jokic,8100,MIN@DEN 12/20/2017 09:00PM ET,39.239,DEN,MIN,0.0,42.9,35.5,DEN,MIN,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PG,Kyrie Irving,8000,MIA@BOS 12/20/2017 07:30PM ET,38.661,BOS,MIA,0.0,38.8,49.5,BOS,MIA,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PF/C,LaMarcus Aldridge,7800,SA@POR 12/20/2017 10:00PM ET,39.133,SA,POR,0.0,33.8,37.0,POR,SA,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
SG/SF,Devin Booker,7800,PHO@LAC 12/20/2017 10:30PM ET,38.3,PHO,LAC,0.0,0.0,0.0,LAC,PHO,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
C,Marc Gasol,7700,MEM@GS 12/20/2017 10:30PM ET,39.742,MEM,GS,0.0,37.6,43.25,GS,MEM,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
C,Dwight Howard,7600,TOR@CHA 12/20/2017 07:00PM ET,36.408,CHA,TOR,0.0,38.4,26.75,CHA,TOR,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PG/SG,Lou Williams,7600,PHO@LAC 12/20/2017 10:30PM ET,32.58,LAC,PHO,0.0,40.1,0.0,LAC,PHO,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
SF/PF,Aaron Gordon,7500,ORL@CHI 12/20/2017 08:00PM ET,35.904,ORL,CHI,0.0,0.0,0.0,CHI,ORL,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PF/C,Draymond Green,7500,MEM@GS 12/20/2017 10:30PM ET,35.94,GS,MEM,0.0,0.0,0.0,GS,MEM,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PF/C,Blake Griffin,7500,PHO@LAC 12/20/2017 10:30PM ET,43.763,LAC,PHO,0.0,0.0,0.0,LAC,PHO,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
C,DeAndre Jordan,7500,PHO@LAC 12/20/2017 10:30PM ET,34.69,LAC,PHO,0.0,39.1,39.5,LAC,PHO,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
SF,Paul George,7400,UTA@OKC 12/20/2017 08:00PM ET,38.089,OKC,UTA,0.0,35.9,35.0,OKC,UTA,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
C,Clint Capela,7400,LAL@HOU 12/20/2017 08:00PM ET,35.134,HOU,LAL,0.0,0.0,0.0,HOU,LAL,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PG,Dennis Schroder,7300,IND@ATL 12/20/2017 07:30PM ET,35.089,ATL,IND,0.0,37.0,27.25,ATL,IND,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PF/C,Al Horford,7300,MIA@BOS 12/20/2017 07:30PM ET,35.767,BOS,MIA,0.0,34.3,18.5,BOS,MIA,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PG/SG,Kris Dunn,7200,ORL@CHI 12/20/2017 08:00PM ET,30.55,CHI,ORL,0.0,36.1,40.0,CHI,ORL,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
SG,Klay Thompson,7200,MEM@GS 12/20/2017 10:30PM ET,33.4,GS,MEM,0.0,34.9,43.0,GS,MEM,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PG,Kemba Walker,7100,TOR@CHA 12/20/2017 07:00PM ET,37.58,CHA,TOR,0.0,35.7,28.5,CHA,TOR,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
C,Hassan Whiteside,7000,MIA@BOS 12/20/2017 07:30PM ET,36.95,MIA,BOS,0.0,0.0,0.0,BOS,MIA,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PG/SG,Tyreke Evans,7000,MEM@GS 12/20/2017 10:30PM ET,33.526,MEM,GS,0.0,35.3,30.0,GS,MEM,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
SG/SF,Jonathon Simmons,6900,ORL@CHI 12/20/2017 08:00PM ET,24.653,ORL,CHI,0.0,31.8,16.5,CHI,ORL,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PG/SG,D'Angelo Russell,6800,SAC@BKN 12/20/2017 07:30PM ET,36.458,BKN,SAC,0.0,0.0,0.0,BKN,SAC,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PG/SG,Spencer Dinwiddie,6700,SAC@BKN 12/20/2017 07:30PM ET,28.25,BKN,SAC,0.0,33.1,28.25,BKN,SAC,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
SF/PF,Harrison Barnes,6700,DET@DAL 12/20/2017 08:30PM ET,32.04,DAL,DET,0.0,31.8,39.25,DAL,DET,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PG,Lonzo Ball,6700,LAL@HOU 12/20/2017 08:00PM ET,33.259,LAL,HOU,0.0,35.7,37.75,HOU,LAL,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
C,Myles Turner,6600,IND@ATL 12/20/2017 07:30PM ET,30.677,IND,ATL,0.0,31.5,38.0,ATL,IND,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PG/SG,Donovan Mitchell,6600,UTA@OKC 12/20/2017 08:00PM ET,30.169,UTA,OKC,0.0,0.0,0.0,OKC,UTA,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PF/C,Paul Millsap,6600,MIN@DEN 12/20/2017 09:00PM ET,31.828,DEN,MIN,0.0,0.0,0.0,DEN,MIN,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
SG/SF,Kent Bazemore,6500,IND@ATL 12/20/2017 07:30PM ET,28.717,ATL,IND,0.0,28.8,26.25,ATL,IND,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
C,Rudy Gobert,6500,UTA@OKC 12/20/2017 08:00PM ET,30.611,UTA,OKC,0.0,0.0,0.0,OKC,UTA,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
SG/SF,Brandon Ingram,6500,LAL@HOU 12/20/2017 08:00PM ET,30.714,LAL,HOU,0.0,33.7,33.0,HOU,LAL,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
SG/SF,Taurean Prince,6400,IND@ATL 12/20/2017 07:30PM ET,26.825,ATL,IND,0.0,26.3,21.5,ATL,IND,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PF/C,Nikola Mirotic,6400,ORL@CHI 12/20/2017 08:00PM ET,34.083,CHI,ORL,0.0,30.0,33.0,CHI,ORL,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PG/SG,CJ McCollum,6400,SA@POR 12/20/2017 10:00PM ET,33.405,POR,SA,0.0,32.1,30.25,POR,SA,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
C,Jusuf Nurkic,6400,SA@POR 12/20/2017 10:00PM ET,30.509,POR,SA,0.0,30.5,23.5,POR,SA,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PG,Mike Conley,6300,MEM@GS 12/20/2017 10:30PM ET,28.771,MEM,GS,0.0,0.0,0.0,GS,MEM,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
C,Steven Adams,6300,UTA@OKC 12/20/2017 08:00PM ET,30.04,OKC,UTA,0.0,27.0,26.25,OKC,UTA,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
SF/PF,Tobias Harris,6300,DET@DAL 12/20/2017 08:30PM ET,29.608,DET,DAL,0.0,28.6,19.5,DAL,DET,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
SG,Gary Harris,6300,MIN@DEN 12/20/2017 09:00PM ET,29.357,DEN,MIN,0.0,0.0,0.0,DEN,MIN,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
