"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SG/SF","John Holland",3000,"ATL@CLE 12/12/2017 07:00PM ET",1.833,"CLE","ATL",0,0,0
"PG","Jose Calderon",3000,"ATL@CLE 12/12/2017 07:00PM ET",7.958,"CLE","ATL",13.09,13.7,25.25
"PG","Josh Magette",3000,"ATL@CLE 12/12/2017 07:00PM ET",6.188,"ATL","CLE",0,0,0
"PG/SG","Tyler Dorsey",3000,"ATL@CLE 12/12/2017 07:00PM ET",4.188,"ATL","CLE",0,0,0
"PF","Luke Kornet",3000,"LAL@NY 12/12/2017 07:00PM ET",0,"NY","LAL",0,0,0
"PF","Isaiah Hicks",3000,"LAL@NY 12/12/2017 07:00PM ET",0,"NY","LAL",0,0,0
"PF/C","Thomas Bryant",3000,"LAL@NY 12/12/2017 07:00PM ET",0,"LAL","NY",0,0,0
"PG/SG","Tyler Ennis",3000,"LAL@NY 12/12/2017 07:00PM ET",4.396,"LAL","NY",0,0,0
"PG/SG","Josh Hart",3000,"LAL@NY 12/12/2017 07:00PM ET",8.313,"LAL","NY",5.58,7.5,3.75
"PG/SG","Alex Caruso",3000,"LAL@NY 12/12/2017 07:00PM ET",4.75,"LAL","NY",0,0,0
"SF/PF","Luol Deng",3000,"LAL@NY 12/12/2017 07:00PM ET",5,"LAL","NY",0,0,0
"C","Andrew Bogut",3000,"LAL@NY 12/12/2017 07:00PM ET",7.533,"LAL","NY",0,0,0
"SG/SF","Corey Brewer",3000,"LAL@NY 12/12/2017 07:00PM ET",6.95,"LAL","NY",3.08,0,0.75
"PG/SG","Vander Blue",3000,"LAL@NY 12/12/2017 07:00PM ET",0.938,"LAL","NY",0,0,0
"PF","Jack Cooley",3000,"PHO@SAC 12/12/2017 10:00PM ET",4.75,"SAC","PHO",0,0,0
"SG/SF","Vince Carter",3000,"PHO@SAC 12/12/2017 10:00PM ET",7.426,"SAC","PHO",5.74,7,0
"C","Georgios Papagiannis",3000,"PHO@SAC 12/12/2017 10:00PM ET",6.5,"SAC","PHO",0,0,0
"PF/C","Harry Giles",3000,"PHO@SAC 12/12/2017 10:00PM ET",0,"SAC","PHO",0,0,0
"SG/SF","Malachi Richardson",3000,"PHO@SAC 12/12/2017 10:00PM ET",6.979,"SAC","PHO",0,0,0
"SG/SF","Danuel House",3000,"PHO@SAC 12/12/2017 10:00PM ET",2.75,"PHO","SAC",0,0,0
"PG/SG","Brandon Knight",3000,"PHO@SAC 12/12/2017 10:00PM ET",0,"PHO","SAC",0,0,0
"PF","Alec Peters",3000,"PHO@SAC 12/12/2017 10:00PM ET",3.75,"PHO","SAC",0,0,0
"SG/SF","Davon Reed",3000,"PHO@SAC 12/12/2017 10:00PM ET",0,"PHO","SAC",0,0,0
"PF","Matt Costello",3000,"SA@DAL 12/12/2017 08:30PM ET",12.25,"SA","DAL",0,0,0
"PF/C","Joffrey Lauvergne",3000,"SA@DAL 12/12/2017 08:30PM ET",9.635,"SA","DAL",7.5,0,5.25
"PG","Derrick White",3000,"SA@DAL 12/12/2017 08:30PM ET",6.65,"SA","DAL",0,0,0
"SG/SF","Darrun Hilliard",3000,"SA@DAL 12/12/2017 08:30PM ET",3.813,"SA","DAL",0,0,0
"SF","Dorian Finney-Smith",3000,"SA@DAL 12/12/2017 08:30PM ET",5.875,"DAL","SA",0,0,0
"C","Jeff Withey",3000,"SA@DAL 12/12/2017 08:30PM ET",3.781,"DAL","SA",0,0,0
"PF/C","Josh McRoberts",3000,"SA@DAL 12/12/2017 08:30PM ET",0,"DAL","SA",0,0,0
"PF","Nerlens Noel",3000,"SA@DAL 12/12/2017 08:30PM ET",12.132,"DAL","SA",0,0,0
"PF/C","Johnathan Motley",3000,"SA@DAL 12/12/2017 08:30PM ET",0,"DAL","SA",0,0,0
"SG","Antonius Cleveland",3000,"SA@DAL 12/12/2017 08:30PM ET",5.393,"DAL","SA",6.32,5.4,3.5
"SG/SF","Furkan Korkmaz",3000,"PHI@MIN 12/12/2017 09:30PM ET",3.583,"PHI","MIN",0,0,0
"SG/SF","Justin Anderson",3000,"PHI@MIN 12/12/2017 09:30PM ET",9.875,"PHI","MIN",0,0,0
"PG","Jacob Pullen",3000,"PHI@MIN 12/12/2017 09:30PM ET",0,"PHI","MIN",0,0,0
