"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SG/SF","Stanley Johnson",4000,"DET@DAL 12/20/2017 08:30PM ET",16.852,"DET","DAL",0,17,21.5
"PF/C","Frank Kaminsky",4000,"TOR@CHA 12/20/2017 07:00PM ET",19.222,"CHA","TOR",0,19.9,11.25
"PG","Mike James",4000,"PHO@LAC 12/20/2017 10:30PM ET",21.524,"PHO","LAC",0,0,12.5
"PG","Tyler Ulis",4000,"PHO@LAC 12/20/2017 10:30PM ET",17.968,"PHO","LAC",0,18.7,6
"PG","Cory Joseph",3900,"IND@ATL 12/20/2017 07:30PM ET",17.871,"IND","ATL",0,18.1,18.25
"C","Aron Baynes",3900,"MIA@BOS 12/20/2017 07:30PM ET",15.152,"BOS","MIA",0,17.1,8.25
"SF/PF","Justise Winslow",3900,"MIA@BOS 12/20/2017 07:30PM ET",18,"MIA","BOS",0,0,0
"PG/SG","DJ Augustin",3900,"ORL@CHI 12/20/2017 08:00PM ET",17.292,"ORL","CHI",0,15.8,21.5
"PG/SG","Jerian Grant",3900,"ORL@CHI 12/20/2017 08:00PM ET",20.828,"CHI","ORL",0,12.9,25.5
"SF/PF","Chandler Parsons",3900,"MEM@GS 12/20/2017 10:30PM ET",18.076,"MEM","GS",0,0,0
"SG/SF","Joe Harris",3900,"SAC@BKN 12/20/2017 07:30PM ET",17.407,"BKN","SAC",0,15.6,22
"PG","Ish Smith",3900,"DET@DAL 12/20/2017 08:30PM ET",17.958,"DET","DAL",0,18.7,0
"PG/SG","Langston Galloway",3900,"DET@DAL 12/20/2017 08:30PM ET",12.116,"DET","DAL",0,14.2,10
"PF","Pascal Siakam",3900,"TOR@CHA 12/20/2017 07:00PM ET",17.25,"TOR","CHA",0,14,27.5
"SG","Troy Daniels",3900,"PHO@LAC 12/20/2017 10:30PM ET",11.453,"PHO","LAC",0,19.5,13.75
"SG/SF","Josh Jackson",3900,"PHO@LAC 12/20/2017 10:30PM ET",17.172,"PHO","LAC",0,19.4,26
"PF","Tyler Cavanaugh",3800,"IND@ATL 12/20/2017 07:30PM ET",12.145,"ATL","IND",0,0,0
"PG","Mario Chalmers",3800,"MEM@GS 12/20/2017 10:30PM ET",18.371,"MEM","GS",0,18.5,26
"C","Jahlil Okafor",3800,"SAC@BKN 12/20/2017 07:30PM ET",13.75,"BKN","SAC",0,0,0
"PF/C","Ed Davis",3800,"SA@POR 12/20/2017 10:00PM ET",15.775,"POR","SA",0,15.8,23.75
"SG/SF","Evan Turner",3800,"SA@POR 12/20/2017 10:00PM ET",17.65,"POR","SA",0,19.3,18.25
"SG/SF","Joe Johnson",3800,"UTA@OKC 12/20/2017 08:00PM ET",11.955,"UTA","OKC",0,17.9,6.25
"SG/SF","Reggie Bullock",3800,"DET@DAL 12/20/2017 08:30PM ET",10.266,"DET","DAL",0,18.9,5.5
"PF/C","Jakob Poeltl",3800,"TOR@CHA 12/20/2017 07:00PM ET",15.58,"TOR","CHA",0,17.8,24
"C","Cody Zeller",3800,"TOR@CHA 12/20/2017 07:00PM ET",17.882,"CHA","TOR",0,0,0
"SG/SF","CJ Miles",3800,"TOR@CHA 12/20/2017 07:00PM ET",16.365,"TOR","CHA",0,0,0
"SF/PF","PJ Tucker",3800,"LAL@HOU 12/20/2017 08:00PM ET",18.026,"HOU","LAL",0,23.8,27
"PF/C","Kenneth Faried",3800,"MIN@DEN 12/20/2017 09:00PM ET",15.59,"DEN","MIN",0,0,0
"PG","Emmanuel Mudiay",3800,"MIN@DEN 12/20/2017 09:00PM ET",18.405,"DEN","MIN",0,0,0
"PG","Jawun Evans",3800,"PHO@LAC 12/20/2017 10:30PM ET",11.432,"LAC","PHO",0,8.1,6.5
"SF/PF","Sam Dekker",3800,"PHO@LAC 12/20/2017 10:30PM ET",8.92,"LAC","PHO",0,14.8,13.75
"SG","Marco Belinelli",3700,"IND@ATL 12/20/2017 07:30PM ET",20.042,"ATL","IND",0,16,18.75
"SG/SF","Glenn Robinson III",3700,"IND@ATL 12/20/2017 07:30PM ET",0,"IND","ATL",0,0,0
"PF/C","Jordan Mickey",3700,"MIA@BOS 12/20/2017 07:30PM ET",12.889,"MIA","BOS",0,19.9,19.5
"SG/SF","Arron Afflalo",3700,"ORL@CHI 12/20/2017 08:00PM ET",5.693,"ORL","CHI",0,9.3,3.5
"SG/SF","Dillon Brooks",3700,"MEM@GS 12/20/2017 10:30PM ET",15.85,"MEM","GS",0,17.6,12.5
"SF/PF","Jonas Jerebko",3700,"UTA@OKC 12/20/2017 08:00PM ET",14.413,"UTA","OKC",0,11.5,13
"SG","Luke Kennard",3700,"DET@DAL 12/20/2017 08:30PM ET",11.57,"DET","DAL",0,11,12.25
"PG","Fred VanVleet",3700,"TOR@CHA 12/20/2017 07:00PM ET",14.723,"TOR","CHA",0,15.1,24.5
"SF/PF","OG Anunoby",3700,"TOR@CHA 12/20/2017 07:00PM ET",12.688,"TOR","CHA",0,15.1,32.5
"SG","Jamal Crawford",3700,"MIN@DEN 12/20/2017 09:00PM ET",15.04,"MIN","DEN",0,14.7,32.75
"PF/C","Marquese Chriss",3700,"PHO@LAC 12/20/2017 10:30PM ET",16.406,"PHO","LAC",0,15.3,25
"SF/PF","Jamil Wilson",3700,"PHO@LAC 12/20/2017 10:30PM ET",11.659,"LAC","PHO",0,17.5,21.5
"PG/SG","Shaun Livingston",3600,"MEM@GS 12/20/2017 10:30PM ET",11.038,"GS","MEM",0,0,0
"PG/SG","Garrett Temple",3600,"SAC@BKN 12/20/2017 07:30PM ET",16,"SAC","BKN",0,13.5,9.75
"PG/SG","Nik Stauskas",3600,"SAC@BKN 12/20/2017 07:30PM ET",6.563,"BKN","SAC",0,8.3,3.5
"C","Kosta Koufos",3600,"SAC@BKN 12/20/2017 07:30PM ET",16.302,"SAC","BKN",0,13.3,26
"PG/SG","Devin Harris",3600,"DET@DAL 12/20/2017 08:30PM ET",16.66,"DAL","DET",0,16.1,14.5
"SF/PF","Anthony Tolliver",3600,"DET@DAL 12/20/2017 08:30PM ET",13.852,"DET","DAL",0,14.4,25
"SG/SF","Norman Powell",3600,"TOR@CHA 12/20/2017 07:00PM ET",15.958,"TOR","CHA",0,16.2,14
"SG/SF","Torrey Craig",3600,"MIN@DEN 12/20/2017 09:00PM ET",14.75,"DEN","MIN",0,21.9,20
"PF/C","Montrezl Harrell",3600,"PHO@LAC 12/20/2017 10:30PM ET",12.935,"LAC","PHO",0,15.6,19.5
"SG/SF","DeAndre' Bembry",3500,"IND@ATL 12/20/2017 07:30PM ET",12.078,"ATL","IND",0,13.7,0
"PG/SG","Malcolm Delaney",3500,"IND@ATL 12/20/2017 07:30PM ET",11.682,"ATL","IND",0,0,15
"SG/SF","Terrence Ross",3500,"ORL@CHI 12/20/2017 08:00PM ET",18.795,"ORL","CHI",0,0,0
"PF/C","David West",3500,"MEM@GS 12/20/2017 10:30PM ET",16.875,"GS","MEM",0,17.4,19.5
"C","Tyler Zeller",3500,"SAC@BKN 12/20/2017 07:30PM ET",16.881,"BKN","SAC",0,15.4,10.75
"PG/SG","Shabazz Napier",3500,"SA@POR 12/20/2017 10:00PM ET",14.04,"POR","SA",0,14.4,20.25
"SG/SF","Andre Roberson",3500,"UTA@OKC 12/20/2017 08:00PM ET",15.652,"OKC","UTA",0,15.8,16
"SG/SF","Thabo Sefolosha",3500,"UTA@OKC 12/20/2017 08:00PM ET",17.517,"UTA","OKC",0,14.2,22.75
"SG/SF","Alex Abrines",3500,"UTA@OKC 12/20/2017 08:00PM ET",9.857,"OKC","UTA",0,7.4,9
"SF/PF","Jerami Grant",3500,"UTA@OKC 12/20/2017 08:00PM ET",16.672,"OKC","UTA",0,14.5,18.25
"PG/SG","Delon Wright",3500,"TOR@CHA 12/20/2017 07:00PM ET",15.922,"TOR","CHA",0,12.5,15
