"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
62,955742579,"jbuddpicks (3/7)",0,291.75,"PF Kristaps Porzingis UTIL Jimmy Butler SF Brandon Ingram PG Lonzo Ball C Dario Saric G Buddy Hield SG J.J. Barea F Tyler Cavanaugh",NA,"Kentavious Caldwell-Pope","SG","2.92%",41
64,955743582,"howardvan",0,291.5,"F LeBron James UTIL Kristaps Porzingis PG Dennis Schroder G Kentavious Caldwell-Pope SG J.J. Barea SF J.R. Smith PF Tyler Cavanaugh C Gorgui Dieng",NA,"Brook Lopez","C","2.92%",24.5
64,955744207,"jbuddpicks (5/7)",0,291.5,"C Andre Drummond PF Kristaps Porzingis SF Brandon Ingram PG Lonzo Ball SG Spencer Dinwiddie G J.J. Barea F Tyler Cavanaugh UTIL Richaun Holmes",NA,"Harrison Barnes","SF","2.47%",30.5
66,955447871,"yourboyrappy",0,291.25,"SF LeBron James SG Jimmy Butler PG Spencer Dinwiddie C Dario Saric PF Kyle Kuzma F Julius Randle UTIL Tyson Chandler G Ish Smith",NA,"Gorgui Dieng","F","2.47%",14.75
66,955627108,"ecsal",0,291.25,"C Karl-Anthony Towns UTIL Kristaps Porzingis G Dennis Schroder PG Spencer Dinwiddie SF Buddy Hield SG J.J. Barea F Wilson Chandler PF Tyler Cavanaugh",NA,"Frank Ntilikina","UTIL","2.47%",29.75
68,954814410,"MSVS (1/20)",0,291,"F LeBron James C Kristaps Porzingis UTIL T.J. Warren PG Spencer Dinwiddie PF Julius Randle SF Josh Jackson SG Tomas Satoransky G Yogi Ferrell",NA,"Marquese Chriss","C","2.47%",21.5
68,954814411,"MSVS (2/20)",0,291,"F LeBron James C Kristaps Porzingis UTIL T.J. Warren PG Spencer Dinwiddie PF Julius Randle SF Josh Jackson SG Tomas Satoransky G Yogi Ferrell",NA,"Maxi Kleber","PF","2.47%",10.5
68,954814412,"MSVS (3/20)",0,291,"F LeBron James C Kristaps Porzingis UTIL T.J. Warren PG Spencer Dinwiddie PF Julius Randle SF Josh Jackson SG Tomas Satoransky G Yogi Ferrell",NA,"Ish Smith","PG","2.47%",20
68,954814413,"MSVS (4/20)",0,291,"F LeBron James C Kristaps Porzingis UTIL T.J. Warren PG Spencer Dinwiddie PF Julius Randle SF Josh Jackson SG Tomas Satoransky G Yogi Ferrell",NA,"Willie Cauley-Stein","PF","2.25%",23.5
68,954814414,"MSVS (5/20)",0,291,"F LeBron James C Kristaps Porzingis UTIL T.J. Warren PG Spencer Dinwiddie PF Julius Randle SF Josh Jackson SG Tomas Satoransky G Yogi Ferrell",NA,"DeMarre Carroll","SF","2.25%",29
68,954814415,"MSVS (6/20)",0,291,"F LeBron James C Kristaps Porzingis UTIL T.J. Warren PG Spencer Dinwiddie PF Julius Randle SF Josh Jackson SG Tomas Satoransky G Yogi Ferrell",NA,"Dirk Nowitzki","C","2.02%",11.5
68,954814416,"MSVS (7/20)",0,291,"F LeBron James C Kristaps Porzingis UTIL T.J. Warren PG Spencer Dinwiddie PF Julius Randle SF Josh Jackson SG Tomas Satoransky G Yogi Ferrell",NA,"Tyler Zeller","UTIL","2.02%",24.5
68,954814417,"MSVS (8/20)",0,291,"F LeBron James C Kristaps Porzingis UTIL T.J. Warren PG Spencer Dinwiddie PF Julius Randle SF Josh Jackson SG Tomas Satoransky G Yogi Ferrell",NA,"Patty Mills","PG","2.02%",18.25
68,954814418,"MSVS (9/20)",0,291,"F LeBron James C Kristaps Porzingis UTIL T.J. Warren PG Spencer Dinwiddie PF Julius Randle SF Josh Jackson SG Tomas Satoransky G Yogi Ferrell",NA,"Jae Crowder","F","2.02%",17.75
