"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14"
"Nemanja Bjelica_MIN",NA,0,0,NA,0,NA,0,NA,0,0,NA,0
"Shabazz Muhammad_MIN",NA,0.75,0,NA,0,NA,0,NA,0,0,NA,0
"Raul Neto_UTA",NA,0,NA,0,0,NA,0,0,NA,NA,0,NA
"Patrick Patterson_OKC",NA,NA,0,NA,9.25,NA,NA,9.75,NA,NA,11.75,NA
"Damyean Dotson_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0
"James Ennis III_MEM",NA,NA,0,NA,0,0,0,NA,0,NA,0,NA
"Ben McLemore_MEM",NA,NA,17.75,NA,22.5,15,10.75,NA,1.5,NA,14.25,NA
"Semi Ojeleye_BOS",NA,NA,NA,5,NA,9.5,2.5,NA,3.75,NA,9.25,NA
"Shane Larkin_BOS",NA,NA,NA,0,NA,0,0,NA,22,NA,27.75,NA
"Maurice Harkless_POR",NA,NA,NA,5.5,NA,0,NA,8.5,NA,NA,6.25,NA
"Pat Connaughton_POR",NA,NA,NA,7.25,NA,21,NA,7.75,NA,NA,4.25,NA
"Malik Monk_CHA",NA,NA,21,NA,11.25,NA,0,NA,0,NA,7,NA
"Michael Carter-Williams_CHA",NA,NA,21.5,NA,29,NA,8.25,NA,9.25,NA,10.75,NA
"Dragan Bender_PHO",NA,8,10.5,NA,NA,11.75,14.25,1.25,NA,18.75,13.5,NA
"Ron Baker_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0
"Joakim Noah_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0
"Caleb Swanigan_POR",NA,NA,NA,0,NA,0,NA,0,NA,NA,0,NA
"Nene Hilario_HOU",NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,14,NA
"DeAndre Liggins_MIL",NA,7.25,NA,7.75,NA,5.5,4.75,NA,12.5,NA,7.5,NA
"Channing Frye_CLE",NA,9.5,NA,7.25,NA,11,4.5,NA,13.25,12.75,NA,3.25
"Lance Thomas_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0
"Jarell Martin_MEM",NA,NA,9.5,NA,4,13.5,8,NA,13,NA,3.25,NA
"Dwayne Bacon_CHA",NA,NA,1.25,NA,0,NA,0,NA,3.75,NA,0,NA
"Luc Richard Mbah a Moute_HOU",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
"Matthew Dellavedova_MIL",NA,0,NA,0,NA,0,0,NA,0,NA,0,NA
"Mirza Teletovic_MIL",NA,0,NA,0,NA,0,0,NA,0,NA,0,NA
"Jawun Evans_LAC",8.5,NA,NA,15,NA,9.25,NA,NA,14.5,NA,18.25,NA
"Raymond Felton_OKC",NA,NA,12.5,NA,6.25,NA,NA,3,NA,NA,18.75,NA
"Ramon Sessions_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0
"Gary Payton II_MIL",NA,1,NA,0,NA,0,0,NA,0,NA,18.5,NA
"Bobby Brown_HOU",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
"Sindarius Thornwell_LAC",6.75,NA,NA,4.25,NA,13,NA,NA,8.5,NA,6,NA
"Ekpe Udoh_UTA",NA,10,NA,12,12.5,NA,8,0,NA,NA,0,NA
"Royce O'Neale_UTA",NA,14.75,NA,21.75,3.5,NA,33.75,2,NA,NA,0,NA
"Cedi Osman_CLE",NA,0,NA,13.5,NA,0,2.75,NA,0,12,NA,6
